N63	linia zwykła							
								
Kierunek: ŻERAŃ FSO					Kierunek: DĄBRÓWKA SZLACHECKA			
Ulica	Przystanek	Nr			Ulica	Przystanek	Nr	
Modlińska	DĄBRÓWKA SZLACHECKA	03	K		Modlińska	ŻERAŃ FSO	09	K
	DĄBRÓWKA SZLACHECKA	01	NŻ			ŻERAŃ FSO	02	NŻ
	POETÓW	01	NŻ			KANAŁ ŻERAŃSKI	02	NŻ
	WINNICA	01	NŻ			KONWALIOWA	02	NŻ
Mehoffera	HENRYKÓW	03	NŻ			PŁOCHOCIŃSKA	02	NŻ
Hanki Ordonówny	PASŁĘCKA	01	NŻ			EKSPRESOWA	02	NŻ
	STRUMYKOWA	01	NŻ		Obrazkowa	OBRAZKOWA	03	NŻ
Światowida	NOWODWORY	01	NŻ		Myśliborska	STARE ŚWIDRY	01	NŻ
	STEFANIKA	01	NŻ			PORAJÓW	02	NŻ
	MEHOFFERA	01	NŻ		Światowida	MYŚLIBORSKA	01	NŻ
Ćmielowska	TARCHOMIN	04	NŻ			MILENIJNA	01	NŻ
	KAMIŃSKIEGO	01	NŻ		Milenijna	CERAMICZNA	02	NŻ
Milenijna	ĆMIELOWSKA	01	NŻ		Ćmielowska	ĆMIELOWSKA	02	NŻ
	CERAMICZNA	01	NŻ			KAMIŃSKIEGO	02	NŻ
Światowida	MILENIJNA	02	NŻ		Światowida	TARCHOMIN	02	NŻ
Myśliborska	MYŚLIBORSKA	03	NŻ			MEHOFFERA	02	NŻ
	PORAJÓW	01	NŻ			STEFANIKA	02	NŻ
Obrazkowa	STARE ŚWIDRY	02	NŻ		Hanki Ordonówny	NOWODWORY	04	NŻ
Modlińska	OBRAZKOWA	01	NŻ			STRUMYKOWA	02	NŻ
	EKSPRESOWA	01	NŻ			PASŁĘCKA	02	NŻ
	PŁOCHOCIŃSKA	01	NŻ		Mehoffera	CHĘCIŃSKA	02	NŻ
	KONWALIOWA	01	NŻ		Modlińska	HENRYKÓW	02	NŻ
	KANAŁ ŻERAŃSKI	01	NŻ			WINNICA	02	NŻ
	EC ŻERAŃ	01	NŻ			POETÓW	02	NŻ
	ŻERAŃ FSO	09	K			DĄBRÓWKA SZLACHECKA	03	K

1440/1440/1440
